BottleState	iWine	Vintage	Wine	Locale	Quantity	BottleSize	Location	Bin	Store	PurchaseDate	DeliveryDate	BottleCost	BottleCostCurrency	BottleNote	PurchaseNote	ConsumptionDate	ConsumptionType	ShortType	ConsumptionNote	ConsumptionRevenue	ConsumptionRevenueCurrency
-1	684674	2008	Pétrus	France, Bordeaux, Libournais, Pomerol	1	750ml	(n/a)		Farr Vintners	5/25/2020	5/25/2020	0	EUR								
-1	684674	2008	Pétrus	France, Bordeaux, Libournais, Pomerol	1	750ml	(n/a)		Farr Vintners	5/25/2020	5/25/2020	0	EUR								
-1	684674	2008	Pétrus	France, Bordeaux, Libournais, Pomerol	1	750ml	(n/a)		Farr Vintners	5/25/2020	5/25/2020	0	EUR								
1	118542	2003	Domaine de la Romanée-Conti La Tâche	France, Burgundy, Côte de Nuits, La Tâche Grand Cru	1	750ml	Cellar		Private Cellar	4/8/2020	4/8/2020	3500	EUR								
0	118542	2003	Domaine de la Romanée-Conti La Tâche	France, Burgundy, Côte de Nuits, La Tâche Grand Cru	1	750ml	Cellar		Private Cellar	4/8/2020	4/8/2020	3500	EUR			5/1/2020	Drank from my cellar	Drank	Absolutely fantastic wine!		
1	1367113	2011	Château d'Yquem	France, Bordeaux, Sauternais, Sauternes	1	375ml	Cellar		Millesima	11/6/2019	11/6/2019	230	EUR								
1	1367113	2011	Château d'Yquem	France, Bordeaux, Sauternais, Sauternes	1	375ml	Cellar		Millesima	11/6/2019	11/6/2019	230	EUR								
1	1367113	2011	Château d'Yquem	France, Bordeaux, Sauternais, Sauternes	1	375ml	Cellar		Millesima	11/6/2019	11/6/2019	230	EUR								
1	1367113	2011	Château d'Yquem	France, Bordeaux, Sauternais, Sauternes	1	375ml	Cellar		Millesima	11/6/2019	11/6/2019	230	EUR								
1	1367113	2011	Château d'Yquem	France, Bordeaux, Sauternais, Sauternes	1	375ml	Cellar		Millesima	11/6/2019	11/6/2019	230	EUR								
0	1367113	2011	Château d'Yquem	France, Bordeaux, Sauternais, Sauternes	1	375ml	Cellar		Millesima	11/6/2019	11/6/2019	230	EUR			5/21/2020	Drank from my cellar	Drank	Excellent!		
