iWine	Barcode	Location	Bin	Size	Currency	ExchangeRate	Valuation	Price	NativePrice	NativePriceCurrency	StoreName	PurchaseDate	BottleNote	Vintage	Wine	Locale	Country	Region	SubRegion	Appellation	Producer	SortProducer	Type	Color	Category	Varietal	MasterVarietal	Designation	Vineyard	WA	WS	IWC	BH	AG	WE	JR	RH	JG	GV	JK	LD	CW	WFW	PR	SJ	WD	RR	JH	MFW	WWR	IWR	CHG	TT	TWF	DR	FP	JM	PG	WAL	CT	CNotes	MY	PNotes	BeginConsume	EndConsume
684674	0129197001	(pending)		750ml	EUR	1	0	0	0	EUR	Farr Vintners	5/25/2020		2008	Pétrus	France, Bordeaux, Libournais, Pomerol	France	Bordeaux	Libournais	Pomerol	Pétrus	Pétrus	Red	Red	Dry	Red Bordeaux Blend	Red Bordeaux Blend	Unknown	Unknown																	18-19+														96.625	9			2018	2046
684674	0129197002	(pending)		750ml	EUR	1	0	0	0	EUR	Farr Vintners	5/25/2020		2008	Pétrus	France, Bordeaux, Libournais, Pomerol	France	Bordeaux	Libournais	Pomerol	Pétrus	Pétrus	Red	Red	Dry	Red Bordeaux Blend	Red Bordeaux Blend	Unknown	Unknown																	18-19+														96.625	9			2018	2046
684674	0129197003	(pending)		750ml	EUR	1	0	0	0	EUR	Farr Vintners	5/25/2020		2008	Pétrus	France, Bordeaux, Libournais, Pomerol	France	Bordeaux	Libournais	Pomerol	Pétrus	Pétrus	Red	Red	Dry	Red Bordeaux Blend	Red Bordeaux Blend	Unknown	Unknown																	18-19+														96.625	9			2018	2046
118542	0129197004	Cellar		750ml	EUR	1	3500	3500	3500	EUR	Private Cellar	4/8/2020		2003	Domaine de la Romanée-Conti La Tâche	France, Burgundy, Côte de Nuits, La Tâche Grand Cru	France	Burgundy	Côte de Nuits	La Tâche Grand Cru	Domaine de la Romanée-Conti	Romanée-Conti, Domaine de la 	Red	Red	Dry	Pinot Noir	Pinot Noir	Unknown	Unknown																															94.4117647058823	20			2013	2029
1367113	0129197005	Cellar		375ml	EUR	1	230	230	230	EUR	Millesima	11/6/2019		2011	Château d'Yquem	France, Bordeaux, Sauternais, Sauternes	France	Bordeaux	Sauternais	Sauternes	Château d'Yquem	Yquem, Château d'	White - Sweet/Dessert	White	Sweet/Dessert	Sémillon-Sauvignon Blanc Blend	Sémillon-Sauvignon Blanc Blend	Unknown	Unknown																	19-20														95.9782608695652	55			2019	2054
1367113	0129197006	Cellar		375ml	EUR	1	230	230	230	EUR	Millesima	11/6/2019		2011	Château d'Yquem	France, Bordeaux, Sauternais, Sauternes	France	Bordeaux	Sauternais	Sauternes	Château d'Yquem	Yquem, Château d'	White - Sweet/Dessert	White	Sweet/Dessert	Sémillon-Sauvignon Blanc Blend	Sémillon-Sauvignon Blanc Blend	Unknown	Unknown																	19-20														95.9782608695652	55			2019	2054
1367113	0129197007	Cellar		375ml	EUR	1	230	230	230	EUR	Millesima	11/6/2019		2011	Château d'Yquem	France, Bordeaux, Sauternais, Sauternes	France	Bordeaux	Sauternais	Sauternes	Château d'Yquem	Yquem, Château d'	White - Sweet/Dessert	White	Sweet/Dessert	Sémillon-Sauvignon Blanc Blend	Sémillon-Sauvignon Blanc Blend	Unknown	Unknown																	19-20														95.9782608695652	55			2019	2054
1367113	0129197008	Cellar		375ml	EUR	1	230	230	230	EUR	Millesima	11/6/2019		2011	Château d'Yquem	France, Bordeaux, Sauternais, Sauternes	France	Bordeaux	Sauternais	Sauternes	Château d'Yquem	Yquem, Château d'	White - Sweet/Dessert	White	Sweet/Dessert	Sémillon-Sauvignon Blanc Blend	Sémillon-Sauvignon Blanc Blend	Unknown	Unknown																	19-20														95.9782608695652	55			2019	2054
1367113	0129197009	Cellar		375ml	EUR	1	230	230	230	EUR	Millesima	11/6/2019		2011	Château d'Yquem	France, Bordeaux, Sauternais, Sauternes	France	Bordeaux	Sauternais	Sauternes	Château d'Yquem	Yquem, Château d'	White - Sweet/Dessert	White	Sweet/Dessert	Sémillon-Sauvignon Blanc Blend	Sémillon-Sauvignon Blanc Blend	Unknown	Unknown																	19-20														95.9782608695652	55			2019	2054
1290011	0129197010	Wine Fridge	A1	750ml	EUR	1	185	185	185	EUR	Systembolaget	9/3/2021		1001	Krug Grande Cuvée	France, Champagne, Champagne	France	Champagne		Champagne	Krug	Krug 	White - Sparkling	White	Dry	Champagne Blend	Champagne Blend	Unknown	Unknown																															93.5	128				
1290011	0129197011	Wine Fridge	A2	750ml	EUR	1	185	185	185	EUR	Systembolaget	9/3/2021		1001	Krug Grande Cuvée	France, Champagne, Champagne	France	Champagne		Champagne	Krug	Krug 	White - Sparkling	White	Dry	Champagne Blend	Champagne Blend	Unknown	Unknown																															93.5	128				
1290011	0129197012	Wine Fridge	A3	750ml	EUR	1	185	185	185	EUR	Systembolaget	9/3/2021		1001	Krug Grande Cuvée	France, Champagne, Champagne	France	Champagne		Champagne	Krug	Krug 	White - Sparkling	White	Dry	Champagne Blend	Champagne Blend	Unknown	Unknown																															93.5	128				
1290011	0129197013	Wine Fridge	A4	750ml	EUR	1	185	185	185	EUR	Systembolaget	9/3/2021		1001	Krug Grande Cuvée	France, Champagne, Champagne	France	Champagne		Champagne	Krug	Krug 	White - Sparkling	White	Dry	Champagne Blend	Champagne Blend	Unknown	Unknown																															93.5	128				
1290011	0129197014	Wine Fridge	A5	750ml	EUR	1	185	185	185	EUR	Systembolaget	9/3/2021		1001	Krug Grande Cuvée	France, Champagne, Champagne	France	Champagne		Champagne	Krug	Krug 	White - Sparkling	White	Dry	Champagne Blend	Champagne Blend	Unknown	Unknown																															93.5	128				
1290011	0129197015	Wine Fridge	A6	750ml	EUR	1	185	185	185	EUR	Systembolaget	9/3/2021		1001	Krug Grande Cuvée	France, Champagne, Champagne	France	Champagne		Champagne	Krug	Krug 	White - Sparkling	White	Dry	Champagne Blend	Champagne Blend	Unknown	Unknown																															93.5	128				
155002	0129197016	Cellar	R3C2D1	1.5L	EUR	1	1450	1450	1450	EUR	Farr Vintners	6/2/2019		2016	Château Mouton-Rothschild	France, Bordeaux, Médoc, Pauillac	France	Bordeaux	Médoc	Pauillac	Château Mouton-Rothschild	Mouton-Rothschild, Château 	Red	Red	Dry	Red Bordeaux Blend	Red Bordeaux Blend	Unknown	Unknown	98	97															19														97.8	61			2030	2060
1442001	0129197017	Offsite Storage	12-3-4	750ml	EUR	1	620	620	620	EUR	Vinicum	10/14/2021		2013	Giacomo Conterno Barolo Riserva Monfortino	Italy, Piedmont, Barolo	Italy	Piedmont		Barolo	Giacomo Conterno	Conterno, Giacomo 	Red	Red	Dry	Nebbiolo	Nebbiolo	Unknown	Unknown					99																										97.1666666666667	34			2028	2055
1442001	0129197018	Offsite Storage	12-3-5	750ml	EUR	1	620	620	620	EUR	Vinicum	10/14/2021		2013	Giacomo Conterno Barolo Riserva Monfortino	Italy, Piedmont, Barolo	Italy	Piedmont		Barolo	Giacomo Conterno	Conterno, Giacomo 	Red	Red	Dry	Nebbiolo	Nebbiolo	Unknown	Unknown					99																										97.1666666666667	34			2028	2055
1501777	0129197019	Cellar	147	750ml	EUR	1	285	285	285	EUR	Systembolaget	2/11/2022		2018	E. Guigal Côte-Rôtie La Landonne	France, Rhône, Northern Rhône, Côte-Rôtie	France	Rhône	Northern Rhône	Côte-Rôtie	E. Guigal	Guigal, E. 	Red	Red	Dry	Syrah	Syrah	Unknown	Unknown																															95.0	18			9999	9999
1501777	0129197020	Cellar	148	750ml	EUR	1	285	285	285	EUR	Systembolaget	2/11/2022		2018	E. Guigal Côte-Rôtie La Landonne	France, Rhône, Northern Rhône, Côte-Rôtie	France	Rhône	Northern Rhône	Côte-Rôtie	E. Guigal	Guigal, E. 	Red	Red	Dry	Syrah	Syrah	Unknown	Unknown																															95.0	18			9999	9999
1501777	0129197021	Cellar	149	750ml	EUR	1	285	285	285	EUR	Systembolaget	2/11/2022		2018	E. Guigal Côte-Rôtie La Landonne	France, Rhône, Northern Rhône, Côte-Rôtie	France	Rhône	Northern Rhône	Côte-Rôtie	E. Guigal	Guigal, E. 	Red	Red	Dry	Syrah	Syrah	Unknown	Unknown																															95.0	18			9999	9999
1600123	0129197022	EuroCave	A12	750ml	EUR	1	48	48	48	EUR	Weinhalle	7/19/2021		2019	Joh. Jos. Prüm Wehlener Sonnenuhr Riesling Auslese	Germany, Mosel, Wehlener Sonnenuhr	Germany	Mosel		Wehlener Sonnenuhr	Joh. Jos. Prüm	Prüm, Joh. Jos. 	White - Off-Dry	White	Off-Dry	Riesling	Riesling	Unknown	Unknown																															92.75	27			2025	2045
1600123	0129197023	EuroCave	A12	750ml	EUR	1	48	48	48	EUR	Weinhalle	7/19/2021		2019	Joh. Jos. Prüm Wehlener Sonnenuhr Riesling Auslese	Germany, Mosel, Wehlener Sonnenuhr	Germany	Mosel		Wehlener Sonnenuhr	Joh. Jos. Prüm	Prüm, Joh. Jos. 	White - Off-Dry	White	Off-Dry	Riesling	Riesling	Unknown	Unknown																															92.75	27			2025	2045
1600123	0129197024	EuroCave	A12	750ml	EUR	1	48	48	48	EUR	Weinhalle	7/19/2021		2019	Joh. Jos. Prüm Wehlener Sonnenuhr Riesling Auslese	Germany, Mosel, Wehlener Sonnenuhr	Germany	Mosel		Wehlener Sonnenuhr	Joh. Jos. Prüm	Prüm, Joh. Jos. 	White - Off-Dry	White	Off-Dry	Riesling	Riesling	Unknown	Unknown																															92.75	27			2025	2045
1600123	0129197025	EuroCave	A12	750ml	EUR	1	48	48	48	EUR	Weinhalle	7/19/2021		2019	Joh. Jos. Prüm Wehlener Sonnenuhr Riesling Auslese	Germany, Mosel, Wehlener Sonnenuhr	Germany	Mosel		Wehlener Sonnenuhr	Joh. Jos. Prüm	Prüm, Joh. Jos. 	White - Off-Dry	White	Off-Dry	Riesling	Riesling	Unknown	Unknown																															92.75	27			2025	2045
1655900	0129197026	Basement	Rack B - Top	750ml	EUR	0.92	215	215	215	USD	K&L Wines	3/9/2021		2019	Ridge Monte Bello	USA, California, Santa Cruz Mountains, Santa Cruz Mountains	USA	California	Santa Cruz Mountains	Santa Cruz Mountains	Ridge	Ridge 	Red	Red	Dry	Red Bordeaux Blend	Red Bordeaux Blend	Unknown	Unknown	96																														94.2	41			2027	2050
1655900	0129197027	Basement	Rack B - Top	750ml	EUR	0.92	215	215	215	USD	K&L Wines	3/9/2021		2019	Ridge Monte Bello	USA, California, Santa Cruz Mountains, Santa Cruz Mountains	USA	California	Santa Cruz Mountains	Santa Cruz Mountains	Ridge	Ridge 	Red	Red	Dry	Red Bordeaux Blend	Red Bordeaux Blend	Unknown	Unknown	96																														94.2	41			2027	2050
1655900	0129197028	Basement	Rack B - Top	750ml	EUR	0.92	215	215	215	USD	K&L Wines	3/9/2021		2019	Ridge Monte Bello	USA, California, Santa Cruz Mountains, Santa Cruz Mountains	USA	California	Santa Cruz Mountains	Santa Cruz Mountains	Ridge	Ridge 	Red	Red	Dry	Red Bordeaux Blend	Red Bordeaux Blend	Unknown	Unknown	96																														94.2	41			2027	2050
1700055	0129197029	Bar		700ml	EUR	1	72	72	72	EUR	Systembolaget	12/1/2020		1001	Lagavulin 16 Year Old	Scotland, Islay	Scotland	Islay			Lagavulin	Lagavulin 	Spirits	Other	Distilled	Single Malt Whisky	Single Malt Whisky	Unknown	Unknown																															90.0	12				
1720044	0129197030	Cellar	D-04-1	750ml	EUR	1	395	395	395	EUR	Lavinia	5/30/2022		2010	Vega Sicilia Único	Spain, Castilla y León, Ribera del Duero	Spain	Castilla y León		Ribera del Duero	Vega Sicilia	Vega Sicilia 	Red	Red	Dry	Tempranillo-Cabernet Blend	Tempranillo-Cabernet Blend	Reserva Especial, Lote 2	Unknown																															96.0	38			2025	2050
1720044	0129197031	Cellar	D-04-2	750ml	EUR	1	395	395	395	EUR	Lavinia	5/30/2022		2010	Vega Sicilia Único	Spain, Castilla y León, Ribera del Duero	Spain	Castilla y León		Ribera del Duero	Vega Sicilia	Vega Sicilia 	Red	Red	Dry	Tempranillo-Cabernet Blend	Tempranillo-Cabernet Blend	Reserva Especial, Lote 2	Unknown																															96.0	38			2025	2050
1740099	0129197032	Offsite Storage	BIN1	3.0L	EUR	1	1800	1800	1800	EUR	Vinicum	4/22/2021		2015	Tenuta San Guido Sassicaia	Italy, Tuscany, Bolgheri	Italy	Tuscany		Bolgheri	Tenuta San Guido	San Guido, Tenuta 	Red	Red	Dry	Cabernet Sauvignon-Cabernet Franc Blend	Cabernet Sauvignon-Cabernet Franc Blend	Unknown	Unknown	97																														96.5	52			2025	2050
1760321	0129197033	Cellar	P1	750ml	EUR	1	95	95	95	EUR	The Wine Society	1/17/2022		2017	Taylor Fladgate Vintage Port	Portugal, Douro, Porto	Portugal	Douro		Porto	Taylor Fladgate	Taylor Fladgate 	Port	Red	Fortified	Port Blend	Port Blend	Unknown	Unknown																															95.5	29			2035	2070
1760321	0129197034	Cellar	P2	750ml	EUR	1	95	95	95	EUR	The Wine Society	1/17/2022		2017	Taylor Fladgate Vintage Port	Portugal, Douro, Porto	Portugal	Douro		Porto	Taylor Fladgate	Taylor Fladgate 	Port	Red	Fortified	Port Blend	Port Blend	Unknown	Unknown																															95.5	29			2035	2070
1760321	0129197035	Cellar	P3	750ml	EUR	1	95	95	95	EUR	The Wine Society	1/17/2022		2017	Taylor Fladgate Vintage Port	Portugal, Douro, Porto	Portugal	Douro		Porto	Taylor Fladgate	Taylor Fladgate 	Port	Red	Fortified	Port Blend	Port Blend	Unknown	Unknown																															95.5	29			2035	2070
1760321	0129197036	Cellar	P4	750ml	EUR	1	95	95	95	EUR	The Wine Society	1/17/2022		2017	Taylor Fladgate Vintage Port	Portugal, Douro, Porto	Portugal	Douro		Porto	Taylor Fladgate	Taylor Fladgate 	Port	Red	Fortified	Port Blend	Port Blend	Unknown	Unknown																															95.5	29			2035	2070
1760321	0129197037	Cellar	P5	750ml	EUR	1	95	95	95	EUR	The Wine Society	1/17/2022		2017	Taylor Fladgate Vintage Port	Portugal, Douro, Porto	Portugal	Douro		Porto	Taylor Fladgate	Taylor Fladgate 	Port	Red	Fortified	Port Blend	Port Blend	Unknown	Unknown																															95.5	29			2035	2070
1760321	0129197038	Cellar	P6	750ml	EUR	1	95	95	95	EUR	The Wine Society	1/17/2022		2017	Taylor Fladgate Vintage Port	Portugal, Douro, Porto	Portugal	Douro		Porto	Taylor Fladgate	Taylor Fladgate 	Port	Red	Fortified	Port Blend	Port Blend	Unknown	Unknown																															95.5	29			2035	2070
1780500	0129197039	Wine Fridge	B1	750ml	EUR	1	42	42	42	EUR	Systembolaget	6/8/2023		2022	Domaine Tempier Bandol Rosé	France, Provence, Bandol	France	Provence		Bandol	Domaine Tempier	Tempier, Domaine 	Rosé	Rosé	Dry	Mourvèdre Blend	Mourvèdre Blend	Unknown	Unknown																															89.0	15			2023	2026
1780500	0129197040	Wine Fridge	B2	750ml	EUR	1	42	42	42	EUR	Systembolaget	6/8/2023		2022	Domaine Tempier Bandol Rosé	France, Provence, Bandol	France	Provence		Bandol	Domaine Tempier	Tempier, Domaine 	Rosé	Rosé	Dry	Mourvèdre Blend	Mourvèdre Blend	Unknown	Unknown																															89.0	15			2023	2026
1780500	0129197041	Wine Fridge	B3	750ml	EUR	1	42	42	42	EUR	Systembolaget	6/8/2023		2022	Domaine Tempier Bandol Rosé	France, Provence, Bandol	France	Provence		Bandol	Domaine Tempier	Tempier, Domaine 	Rosé	Rosé	Dry	Mourvèdre Blend	Mourvèdre Blend	Unknown	Unknown																															89.0	15			2023	2026
1800777	0129197042	Cellar	C1	750ml	EUR	1	265	265	265	EUR	Millesima	9/12/2022		2015	Louis Roederer Cristal	France, Champagne, Champagne	France	Champagne		Champagne	Louis Roederer	Roederer, Louis 	White - Sparkling	White	Dry	Champagne Blend	Champagne Blend	Unknown	Unknown		96																													95.8	47			2025	2040
1800777	0129197043	Cellar	C2	750ml	EUR	1	265	265	265	EUR	Millesima	9/12/2022		2015	Louis Roederer Cristal	France, Champagne, Champagne	France	Champagne		Champagne	Louis Roederer	Roederer, Louis 	White - Sparkling	White	Dry	Champagne Blend	Champagne Blend	Unknown	Unknown		96																													95.8	47			2025	2040
1800777	0129197044	Offsite Storage	C3	750ml	EUR	1	265	265	265	EUR	Millesima	9/12/2022		2015	Louis Roederer Cristal	France, Champagne, Champagne	France	Champagne		Champagne	Louis Roederer	Roederer, Louis 	White - Sparkling	White	Dry	Champagne Blend	Champagne Blend	Unknown	Unknown		96																													95.8	47			2025	2040
1800777	0129197045	Offsite Storage	C4	750ml	EUR	1	265	265	265	EUR	Millesima	9/12/2022		2015	Louis Roederer Cristal	France, Champagne, Champagne	France	Champagne		Champagne	Louis Roederer	Roederer, Louis 	White - Sparkling	White	Dry	Champagne Blend	Champagne Blend	Unknown	Unknown		96																													95.8	47			2025	2040
1820011	0129197046	Cellar	R5C1D2	750ml	EUR	0.61	580	580	580	AUD	Dan Murphy's	8/3/2022		2017	Penfolds Grange	Australia, South Australia, South Australia	Australia	South Australia		South Australia	Penfolds	Penfolds 	Red	Red	Dry	Shiraz	Shiraz	Unknown	Unknown	98																														96.3	33			2027	2055
1840222	0129197047	Cellar	E-01-1	750ml	EUR	1	312.50	312.50	312.50	EUR	Burgundy Direct	11/30/2022		2019	Domaine Raveneau Chablis Les Clos	France, Burgundy, Chablis, Chablis Grand Cru	France	Burgundy	Chablis	Chablis Grand Cru	Domaine Raveneau	Raveneau, Domaine 	White	White	Dry	Chardonnay	Chardonnay	Unknown	Unknown																															94.9	22			2024	2038
1840222	0129197048	Cellar	E-01-2	750ml	EUR	1	312.50	312.50	312.50	EUR	Burgundy Direct	11/30/2022		2019	Domaine Raveneau Chablis Les Clos	France, Burgundy, Chablis, Chablis Grand Cru	France	Burgundy	Chablis	Chablis Grand Cru	Domaine Raveneau	Raveneau, Domaine 	White	White	Dry	Chardonnay	Chardonnay	Unknown	Unknown																															94.9	22			2024	2038
1860900	0129197049	Cellar	R6C3D1	750ml	EUR	0.92	890	890	890	USD	K&L Wines	2/14/2021		2013	Harlan Estate	USA, California, Napa Valley, Oakville	USA	California	Napa Valley	Oakville	Harlan Estate	Harlan Estate 	Red	Red	Dry	Red Bordeaux Blend	Red Bordeaux Blend	Unknown	Unknown	100																														99.1234567890123	44			2025	2055
