iWine,WineBarcode,Quantity,Pending,Location,Bin,Size,Price,Valuation,MyValue,WBValue,CTValue,MenuPrice,Currency,Vintage,Wine,Locale,Country,Region,SubRegion,Appellation,Producer,SortProducer,Type,Varietal,MasterVarietal,Designation,Vineyard,WA,WS,IWC,BH,AG,WE,JR,RH,JG,GV,JK,LD,CW,WFW,PR,SJ,WD,RR,JH,MFW,WWR,IWR,CHG,TT,TWF,DR,FP,JM,PG,WAL,CT,MY,BeginConsume,EndConsume,UPC
684674,W0684674_750ml,0,3,,,750ml,0,,0,,,0,EUR,2008,Pétrus,"France, Bordeaux, Libournais, Pomerol",France,Bordeaux,Libournais,Pomerol,Pétrus,Pétrus,Red,Red Bordeaux Blend,Red Bordeaux Blend,Unknown,Unknown,,,,,,,,,,,,,,,,,18-19+,,,,,,,,,,,,,,96.625,,2018,2046,
118542,W0118542_750ml,1,0,Cellar,,750ml,3500,3500,0,,,0,EUR,2003,Domaine de la Romanée-Conti La Tâche,"France, Burgundy, Côte de Nuits, La Tâche Grand Cru",France,Burgundy,Côte de Nuits,La Tâche Grand Cru,Domaine de la Romanée-Conti,"Romanée-Conti, Domaine de la ",Red,Pinot Noir,Pinot Noir,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.4117647058823,,2013,2029,
1367113,W1367113_375ml,5,0,Cellar,,375ml,230,230,0,,,0,EUR,2011,Château d'Yquem,"France, Bordeaux, Sauternais, Sauternes",France,Bordeaux,Sauternais,Sauternes,Château d'Yquem,"Yquem, Château d'",White - Sweet/Dessert,Sémillon-Sauvignon Blanc Blend,Sémillon-Sauvignon Blanc Blend,Unknown,Unknown,,,,,,,,,,,,,,,,,19-20,,,,,,,,,,,,,,95.9782608695652,,2019,2054,
1290011,W1290011_750ml,6,0,Wine Fridge,,750ml,185,185,0,,,0,EUR,1001,Krug Grande Cuvée,"France, Champagne, Champagne",France,Champagne,,Champagne,Krug,Krug ,White - Sparkling,Champagne Blend,Champagne Blend,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.5,,,,
155002,W0155002_1.5L,1,0,Cellar,R3C2D1,1.5L,1450,1450,0,,,0,EUR,2016,Château Mouton-Rothschild,"France, Bordeaux, Médoc, Pauillac",France,Bordeaux,Médoc,Pauillac,Château Mouton-Rothschild,"Mouton-Rothschild, Château ",Red,Red Bordeaux Blend,Red Bordeaux Blend,Unknown,Unknown,98,97,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,97.8,,2030,2060,
1442001,W1442001_750ml,2,0,Offsite Storage,,750ml,620,620,0,,,0,EUR,2013,Giacomo Conterno Barolo Riserva Monfortino,"Italy, Piedmont, Barolo",Italy,Piedmont,,Barolo,Giacomo Conterno,"Conterno, Giacomo ",Red,Nebbiolo,Nebbiolo,Unknown,Unknown,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,97.1666666666667,,2028,2055,
1501777,W1501777_750ml,3,0,Cellar,,750ml,285,285,0,,,0,EUR,2018,E. Guigal Côte-Rôtie La Landonne,"France, Rhône, Northern Rhône, Côte-Rôtie",France,Rhône,Northern Rhône,Côte-Rôtie,E. Guigal,"Guigal, E. ",Red,Syrah,Syrah,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,9999,9999,
1600123,W1600123_750ml,4,0,EuroCave,A12,750ml,48,48,0,,,0,EUR,2019,Joh. Jos. Prüm Wehlener Sonnenuhr Riesling Auslese,"Germany, Mosel, Wehlener Sonnenuhr",Germany,Mosel,,Wehlener Sonnenuhr,Joh. Jos. Prüm,"Prüm, Joh. Jos. ",White - Off-Dry,Riesling,Riesling,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.75,,2025,2045,
1655900,W1655900_750ml,3,0,Basement,Rack B - Top,750ml,215,215,0,,,0,EUR,2019,Ridge Monte Bello,"USA, California, Santa Cruz Mountains, Santa Cruz Mountains",USA,California,Santa Cruz Mountains,Santa Cruz Mountains,Ridge,Ridge ,Red,Red Bordeaux Blend,Red Bordeaux Blend,Unknown,Unknown,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.2,,2027,2050,
1700055,W1700055_700ml,1,0,Bar,,700ml,72,72,0,,,0,EUR,1001,Lagavulin 16 Year Old,"Scotland, Islay",Scotland,Islay,,,Lagavulin,Lagavulin ,Spirits,Single Malt Whisky,Single Malt Whisky,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,
1720044,W1720044_750ml,2,0,Cellar,,750ml,395,395,0,,,0,EUR,2010,Vega Sicilia Único,"Spain, Castilla y León, Ribera del Duero",Spain,Castilla y León,,Ribera del Duero,Vega Sicilia,Vega Sicilia ,Red,Tempranillo-Cabernet Blend,Tempranillo-Cabernet Blend,"Reserva Especial, Lote 2",Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,,2025,2050,
1740099,W1740099_3.0L,1,0,Offsite Storage,BIN1,3.0L,1800,1800,0,,,0,EUR,2015,Tenuta San Guido Sassicaia,"Italy, Tuscany, Bolgheri",Italy,Tuscany,,Bolgheri,Tenuta San Guido,"San Guido, Tenuta ",Red,Cabernet Sauvignon-Cabernet Franc Blend,Cabernet Sauvignon-Cabernet Franc Blend,Unknown,Unknown,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.5,,2025,2050,
1760321,W1760321_750ml,6,0,Cellar,,750ml,95,95,0,,,0,EUR,2017,Taylor Fladgate Vintage Port,"Portugal, Douro, Porto",Portugal,Douro,,Porto,Taylor Fladgate,Taylor Fladgate ,Port,Port Blend,Port Blend,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.5,,2035,2070,
1780500,W1780500_750ml,3,0,Wine Fridge,,750ml,42,42,0,,,0,EUR,2022,Domaine Tempier Bandol Rosé,"France, Provence, Bandol",France,Provence,,Bandol,Domaine Tempier,"Tempier, Domaine ",Rosé,Mourvèdre Blend,Mourvèdre Blend,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,,2023,2026,
1800777,W1800777_750ml,4,0,,,750ml,265,265,0,,,0,EUR,2015,Louis Roederer Cristal,"France, Champagne, Champagne",France,Champagne,,Champagne,Louis Roederer,"Roederer, Louis ",White - Sparkling,Champagne Blend,Champagne Blend,Unknown,Unknown,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.8,,2025,2040,
1820011,W1820011_750ml,1,0,Cellar,R5C1D2,750ml,580,580,0,,,0,EUR,2017,Penfolds Grange,"Australia, South Australia, South Australia",Australia,South Australia,,South Australia,Penfolds,Penfolds ,Red,Shiraz,Shiraz,Unknown,Unknown,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,,2027,2055,
1840222,W1840222_750ml,2,0,Cellar,,750ml,312.50,312.50,0,,,0,EUR,2019,Domaine Raveneau Chablis Les Clos,"France, Burgundy, Chablis, Chablis Grand Cru",France,Burgundy,Chablis,Chablis Grand Cru,Domaine Raveneau,"Raveneau, Domaine ",White,Chardonnay,Chardonnay,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.9,,2024,2038,
1860900,W1860900_750ml,1,0,Cellar,R6C3D1,750ml,890,890,0,,,0,EUR,2013,Harlan Estate,"USA, California, Napa Valley, Oakville",USA,California,Napa Valley,Oakville,Harlan Estate,Harlan Estate ,Red,Red Bordeaux Blend,Red Bordeaux Blend,Unknown,Unknown,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.1234567890123,,2025,2055,
