iWine	iPurchase	PurchaseDate	DeliveryDate	StoreName	Currency	ExchangeRate	Price	NativePrice	NativePriceCurrency	Quantity	Remaining	OrderNumber	Delivered	Size	SortSize	Vintage	Wine	SortWine	Locale	Type	Color	Category	Producer	Varietal	MasterVarietal	Designation	Vineyard	Country	Region	SubRegion	Appellation	cLabels
684674	123900001	5/25/2020	5/25/2020	Farr Vintners	EUR	1	0	0	EUR	3	3		False	750ml	12	2008	Pétrus	Pétrus	France, Bordeaux, Libournais, Pomerol	Red	Red	Dry	Pétrus	Red Bordeaux Blend	Red Bordeaux Blend	Unknown	Unknown	France	Bordeaux	Libournais	Pomerol	1674
118542	123900002	4/8/2020	4/8/2020	Private Cellar	EUR	1	3500	3500	EUR	2	1		True	750ml	12	2003	Domaine de la Romanée-Conti La Tâche	Romanée-Conti, Domaine de la La Tâche	France, Burgundy, Côte de Nuits, La Tâche Grand Cru	Red	Red	Dry	Domaine de la Romanée-Conti	Pinot Noir	Pinot Noir	Unknown	Unknown	France	Burgundy	Côte de Nuits	La Tâche Grand Cru	2542
1367113	123900003	11/6/2019	11/6/2019	Millesima	EUR	1	230	230	EUR	6	5		True	375ml	6	2011	Château d'Yquem	Yquem, Château d'	France, Bordeaux, Sauternais, Sauternes	White - Sweet/Dessert	White	Sweet/Dessert	Château d'Yquem	Sémillon-Sauvignon Blanc Blend	Sémillon-Sauvignon Blanc Blend	Unknown	Unknown	France	Bordeaux	Sauternais	Sauternes	9113
1290011	123900004	9/3/2021	9/3/2021	Systembolaget	EUR	1	185	185	EUR	6	6		True	750ml	12	1001	Krug Grande Cuvée	Krug Grande Cuvée	France, Champagne, Champagne	White - Sparkling	White	Dry	Krug	Champagne Blend	Champagne Blend	Unknown	Unknown	France	Champagne		Champagne	4011
155002	123900005	6/2/2019	6/2/2019	Farr Vintners	EUR	1	1450	1450	EUR	1	1		True	1.5L	24	2016	Château Mouton-Rothschild	Mouton-Rothschild, Château 	France, Bordeaux, Médoc, Pauillac	Red	Red	Dry	Château Mouton-Rothschild	Red Bordeaux Blend	Red Bordeaux Blend	Unknown	Unknown	France	Bordeaux	Médoc	Pauillac	3002
1442001	123900006	10/14/2021	10/14/2021	Vinicum	EUR	1	620	620	EUR	2	2		True	750ml	12	2013	Giacomo Conterno Barolo Riserva Monfortino	Conterno, Giacomo Barolo Riserva Monfortino	Italy, Piedmont, Barolo	Red	Red	Dry	Giacomo Conterno	Nebbiolo	Nebbiolo	Unknown	Unknown	Italy	Piedmont		Barolo	3001
1501777	123900007	2/11/2022	2/11/2022	Systembolaget	EUR	1	285	285	EUR	3	3		True	750ml	12	2018	E. Guigal Côte-Rôtie La Landonne	Guigal, E. Côte-Rôtie La Landonne	France, Rhône, Northern Rhône, Côte-Rôtie	Red	Red	Dry	E. Guigal	Syrah	Syrah	Unknown	Unknown	France	Rhône	Northern Rhône	Côte-Rôtie	8777
1600123	123900008	7/19/2021	7/19/2021	Weinhalle	EUR	1	48	48	EUR	4	4		True	750ml	12	2019	Joh. Jos. Prüm Wehlener Sonnenuhr Riesling Auslese	Prüm, Joh. Jos. Wehlener Sonnenuhr Riesling Auslese	Germany, Mosel, Wehlener Sonnenuhr	White - Off-Dry	White	Off-Dry	Joh. Jos. Prüm	Riesling	Riesling	Unknown	Unknown	Germany	Mosel		Wehlener Sonnenuhr	8123
1655900	123900009	3/9/2021	3/9/2021	K&L Wines	EUR	0.92	215	215	USD	3	3		True	750ml	12	2019	Ridge Monte Bello	Ridge Monte Bello	USA, California, Santa Cruz Mountains, Santa Cruz Mountains	Red	Red	Dry	Ridge	Red Bordeaux Blend	Red Bordeaux Blend	Unknown	Unknown	USA	California	Santa Cruz Mountains	Santa Cruz Mountains	9900
1700055	123900010	12/1/2020	12/1/2020	Systembolaget	EUR	1	72	72	EUR	1	1		True	700ml	12	1001	Lagavulin 16 Year Old	Lagavulin 16 Year Old	Scotland, Islay	Spirits	Other	Distilled	Lagavulin	Single Malt Whisky	Single Malt Whisky	Unknown	Unknown	Scotland	Islay			9055
